Time,Frame Number,Frame_length,Source_ip,Destination_IP,Source_Port,Destination_Port,SYN,ACK,RST,TTL,TCP_Protocol,Attack
0.000999,86,1500,31.216.145.67,192.168.72.4,80,53478,Not set,Set,Not set,"252,45",TCP,
0.001001,87,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001002,88,4438,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001011,89,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001011,90,1518,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001037,91,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001038,92,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001062,93,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001063,94,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001088,95,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001088,96,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.00169,139,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.00169,140,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001714,141,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001715,142,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001739,143,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.00174,144,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001764,145,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001765,146,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.00179,147,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001791,148,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
0.001816,149,64,10.50.197.71,10.50.192.199,49543,443,Not set,Set,Not set,127,TCP,
0.001817,150,2978,10.50.192.199,10.50.197.71,443,49543,Not set,Set,Not set,127,TCP,
